Topic,Topic Mask,Type,Properties,Period,QOS,Expiry,Flags,Function,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Notes
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,0,1,0,,,,,,Oil pressure kPa
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,1,1,0,,,,,,Coolant temp degC
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,2,1,0,,,,,,Oil temp degC
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,3,1,0,,,,,,Fuel level percent
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,4,1,0,,,,,,Charge alternator voltage 0.1V
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,5,1,0,,,,,,Battery voltage 0.1V
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,6,1,0,,,,,,Engine speed RPM
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,7,1,0,,,,,,Generator frequency 0.1Hz
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,8,2,0,,,,,,Gen L1-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,10,2,0,,,,,,Gen L2-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,12,2,0,,,,,,Gen L3-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,20,2,0,,,,,,Gen L1 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,22,2,0,,,,,,Gen L2 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,24,2,0,,,,,,Gen L3 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,28,2,0,,,,,,Gen L1 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,30,2,0,,,,,,Gen L2 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,32,2,0,,,,,,Gen L3 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,6,0,2,0,,,,,,Gen total watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,6,21,1,0,,,,,,Gen average power factor 0.01
%GROUP%/%TYPE%/%UID%/status,,P,,120,0,,,1,3,4,1,0,,,,,,Control mode
%GROUP%/%TYPE%/%UID%/status,,P,,120,0,,,1,3,6,1,0,,,,,,Status bits
%GROUP%/%TYPE%/%UID%/hours,,P,,1200,0,,,1,7,6,2,0,,,,,,Engine run time seconds
%GROUP%/%TYPE%/%UID%/hours,,P,,1200,0,,,1,7,16,2,0,,,,,,Number of starts
%GROUP%/%TYPE%/%UID%/hours,,P,,120,0,,,1,7,4,2,0,,,,,,Generator total energy kWh
%GROUP%/%TYPE%/%UID%/alarm,,P,,300,1,,,4,5,0,2,0,,,,,,Alarm status Function4
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,1,1,0,,,,,,Page8 R1 EmergStop+OilPress+CoolTemp+OilTemp
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,2,1,0,,,,,,Page8 R2 UnderSpeed+OverSpeed+FailStart+FailStop
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,3,1,0,,,,,,Page8 R3 SpeedLoss+GenLowV+GenHighV+GenLowFreq
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,4,1,0,,,,,,Page8 R4 GenHighFreq+GenHighCurr+EarthFault+RevPower
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,5,1,0,,,,,,Page8 R5 AirFlap+OilSender+CoolSender+OilTempSender
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,6,1,0,,,,,,Page8 R6 FuelSender+MagPickup+ACSpeed+ChargeAlt
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,7,1,0,,,,,,Page8 R7 LowBatt+HighBatt+LowFuel+HighFuel
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,8,1,0,,,,,,Page8 R8 GenFailClose+MainsFailClose+GenFailOpen+MainsFailOpen
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,9,1,0,,,,,,Page8 R9 MainsLowV+MainsHighV+BusFailClose+BusFailOpen
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,10,1,0,,,,,,Page8 R10 MainsLowFreq+MainsHighFreq+MainsFailed+MainsPhaseRot
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,11,1,0,,,,,,Page8 R11 GenPhaseRot+Maintenance+ClockNotSet+LCDConfigLost
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,12,1,0,,,,,,Page8 R12 TelConfigLost+NotCalibrated+ModemFault+ShortCircuit
%GROUP%/%TYPE%/%UID%/alarm,,P,,120,1,,,1,8,13,1,0,,,,,,Page8 R13 FailSync+BusLive+ScheduledRun+BusPhaseRot
%GROUP%/%TYPE%/%UID%/control,,S,,,1,,,3,16,8,2,0,,,,,,Control
