Topic,Topic Mask,Type,Properties,Period,QOS,Expiry,Flags,Function,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Notes
%GROUP%/%TYPE%/%UID%/p3r0,,P,,60,0,,,1,3,0,2,0,,,,,,Page3 R0-1 (32bit)
%GROUP%/%TYPE%/%UID%/p3r2,,P,,60,0,,,1,3,2,2,0,,,,,,Page3 R2-3 (32bit)
%GROUP%/%TYPE%/%UID%/p3r4,,P,,60,0,,,1,3,4,2,0,,,,,,Page3 R4-5 (32bit)
%GROUP%/%TYPE%/%UID%/p3r6,,P,,60,0,,,1,3,6,2,0,,,,,,Page3 R6-7 (32bit)
%GROUP%/%TYPE%/%UID%/p3r8,,P,,60,0,,,1,3,8,2,0,,,,,,Page3 R8-9 (32bit)
%GROUP%/%TYPE%/%UID%/p3r10,,P,,60,0,,,1,3,10,2,0,,,,,,Page3 R10-11 (32bit)
%GROUP%/%TYPE%/%UID%/p3r12,,P,,60,0,,,1,3,12,2,0,,,,,,Page3 R12-13 (32bit)
%GROUP%/%TYPE%/%UID%/p3r14,,P,,60,0,,,1,3,14,2,0,,,,,,Page3 R14-15 (32bit)
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,0,1,0,,,,,,Page4 R0 Oil pressure
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,1,1,0,,,,,,Page4 R1 Coolant temp
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,2,1,0,,,,,,Page4 R2 Oil temp
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,3,1,0,,,,,,Page4 R3 Fuel level
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,4,1,0,,,,,,Page4 R4
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,5,1,0,,,,,,Page4 R5 Battery
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,6,1,0,,,,,,Page4 R6 RPM
%GROUP%/%TYPE%/%UID%/p4,,P,,60,0,,,1,4,7,1,0,,,,,,Page4 R7 Frequency
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,8,2,0,,,,,,Page4 R8-9 Voltage L1
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,10,2,0,,,,,,Page4 R10-11 Voltage L2
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,12,2,0,,,,,,Page4 R12-13 Voltage L3
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,20,2,0,,,,,,Page4 R20-21 Current L1
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,22,2,0,,,,,,Page4 R22-23 Current L2
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,24,2,0,,,,,,Page4 R24-25 Current L3
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,28,2,0,,,,,,Page4 R28-29 Power L1
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,30,2,0,,,,,,Page4 R30-31 Power L2
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,32,2,0,,,,,,Page4 R32-33 Power L3
%GROUP%/%TYPE%/%UID%/p4b,,P,,60,0,,,1,4,34,2,0,,,,,,Page4 R34-35 Power Total
%GROUP%/%TYPE%/%UID%/p5,,P,,60,0,,,1,5,0,2,0,,,,,,Page5 R0-1 Status/Alarm
%GROUP%/%TYPE%/%UID%/p5,,P,,60,0,,,1,5,2,2,0,,,,,,Page5 R2-3
%GROUP%/%TYPE%/%UID%/p5,,P,,60,0,,,1,5,4,2,0,,,,,,Page5 R4-5
%GROUP%/%TYPE%/%UID%/p7r0,,P,,60,0,,,1,7,0,2,0,,,,,,Page7 R0-1 Hours?
%GROUP%/%TYPE%/%UID%/p7r2,,P,,60,0,,,1,7,2,2,0,,,,,,Page7 R2-3
%GROUP%/%TYPE%/%UID%/p7r4,,P,,60,0,,,1,7,4,2,0,,,,,,Page7 R4-5 kWh?
%GROUP%/%TYPE%/%UID%/p7r6,,P,,60,0,,,1,7,6,2,0,,,,,,Page7 R6-7 Starts?
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,0,2,0,,,,,,Page16 R0-1
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,2,2,0,,,,,,Page16 R2-3
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,4,2,0,,,,,,Page16 R4-5
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,6,2,0,,,,,,Page16 R6-7
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,8,2,0,,,,,,Page16 R8-9 Control Key
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,10,2,0,,,,,,Page16 R10-11
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,12,2,0,,,,,,Page16 R12-13
%GROUP%/%TYPE%/%UID%/p16,,P,,60,0,,,1,16,14,2,0,,,,,,Page16 R14-15 Mode?
